title,year,released_at,director,awards,imdb_votes
Expedition Mars,2016,16-Nov-16,N/A,N/A,18
Disney's Fairy Tale Weddings,2017–,11-Dec-17,N/A,1 win.,47
Fantasia,1940,21-Jul-41,"James Algar, Samuel Armstrong, Ford Beebe Jr., Norman Ferguson, David Hand, Jim Handley, T. Hee, Wilfred Jackson, Hamilton Luske, Bill Roberts, Paul Satterfield, Ben Sharpsteen",8 wins & 1 nomination.,"84,999"
Fantasia 2000,1999,16-Jun-00,"James Algar, Gaëtan Brizzi, Paul Brizzi, Hendel Butoy, Francis Glebas, Eric Goldberg, Don Hahn, Pixote Hunt",4 wins & 7 nominations.,"33,785"
Fantastic Four: The Animated Series,1994–1996,24-Sep-94,N/A,N/A,"2,886"
Fantastic Four: World's Greatest Heroes,2006–2010,N/A,N/A,N/A,"1,921"
Ferdinand the Bull,1938,25-Nov-38,Dick Rickard,N/A,"2,254"
Finding Dory,2016,17-Jun-16,"Andrew Stanton, Angus MacLane(co-director)",Nominated for 1 BAFTA Film Award. Another 17 wins & 45 nominations.,"2,27,414"
Finding Nemo,2003,30-May-03,"Andrew Stanton, Lee Unkrich(co-director)",Won 1 Oscar. Another 49 wins & 62 nominations.,"9,11,647"
,,,,,
First Kid,1996,30-Aug-96,David Mickey Evans,1 nomination.,"9,855"
Fish Hooks,2010–2014,28-Aug-10,N/A,2 wins & 1 nomination.,"2,882"
Flight of the Navigator,1986,01-Aug-86,Randal Kleiser,4 nominations.,"42,322"
Float,2019,12-Nov-19,Bobby Rubio,N/A,"1,031"
Flowers and Trees,1932,30-Jul-32,Burt Gillett,N/A,"1,547"
Flubber,1997,26-Nov-97,Les Mayfield,3 wins & 2 nominations.,"81,512"
,,,,,
For the Birds,2000,02-Nov-01,Ralph Eggleston,Won 1 Oscar. Another 5 wins & 2 nominations.,"28,126"
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
What is Cheese?,2020,03-Jan-20,Bob Peterson,N/A,26
,,,,,
,,,,,
What is Reading?,2020,10-Jan-20,Bob Peterson,N/A,32
,,,,,
Frank and Ollie,1995,20-Oct-95,Theodore Thomas,1 win.,524
Frankenweenie,2012,05-Oct-12,Tim Burton,Nominated for 1 Oscar. Another 11 wins & 49 nominations.,"94,078"
Frankenweenie,1984,21-Dec-84,Tim Burton,1 nomination.,"10,736"
Freaky Friday,1976,21-Jan-77,Gary Nelson,N/A,"11,109"
Freaky Friday,2003,06-Aug-03,Mark Waters,Nominated for 1 Golden Globe. Another 5 wins & 10 nominations.,"1,20,172"
Freaky Friday,2018,10-Aug-18,Steve Carr,N/A,916
Free Solo,2018,13-Dec-18,"Jimmy Chin, Elizabeth Chai Vasarhelyi",Won 1 Oscar. Another 29 wins & 54 nominations.,"46,710"
Frenemies,2012,13-Jan-12,Daisy von Scherler Mayer,3 nominations.,"3,969"
Frozen,2013,27-Nov-13,"Chris Buck, Jennifer Lee",Won 2 Oscars. Another 79 wins & 59 nominations.,"5,51,637"
Frozen II,2019,22-Nov-19,"Chris Buck, Jennifer Lee",Nominated for 1 Oscar. Another 15 wins & 71 nominations.,"1,06,368"
Full-Court Miracle,2003,21-Nov-03,Stuart Gillard,4 nominations.,816
Fun and Fancy Free,1947,12-Mar-48,"Jack Kinney, Hamilton Luske, William Morgan, Bill Roberts",N/A,"6,454"
Fuzzbucket,1986,18-May-86,Mick Garris,1 nomination.,155
G-Force,2009,24-Jul-09,Hoyt Yeatman,1 win & 1 nomination.,"41,151"
Gargoyles,1994–1996,24-Oct-94,N/A,1 win & 11 nominations.,"13,699"
Geek Charming,2011,11-Nov-11,Jeffrey Hornaday,1 nomination.,"10,723"
Genius,1999,21-Aug-99,Rod Daniel,2 nominations.,"1,570"
,,,,,
George of the Jungle,1997,16-Jul-97,Sam Weisman,1 win & 3 nominations.,"68,409"
George of the Jungle 2,2003,20-Oct-03,David Grossman,N/A,"6,039"
Geri's Game,1997,25-Nov-97,Jan Pinkava,Won 1 Oscar. Another 8 wins & 1 nomination.,"21,679"
Get a Clue,2002,20-Jul-02,Maggie Greenwald,N/A,"5,713"
,,,,,
Girl Meets World,2014–2017,27-Jun-14,N/A,Nominated for 3 Primetime Emmys. Another 3 wins & 16 nominations.,"12,220"
Glory Road,2006,13-Jan-06,James Gartner,2 wins & 3 nominations.,"41,442"
Go Figure,2005,10-Jun-05,Francine McDougall,1 nomination.,"3,121"
Going to the Mat,2004,19-Mar-04,Stuart Gillard,1 win & 3 nominations.,"1,212"
Good Luck Charlie,2010–2014,04-Apr-10,N/A,Nominated for 3 Primetime Emmys. Another 4 wins & 20 nominations.,"17,475"
"Good Luck Charlie, It's Christmas!",2011,02-Dec-11,Arlene Sanford,N/A,"4,577"
Goof Troop,1992–1993,05-Sep-92,N/A,1 win & 2 nominations.,"7,293"
Gordon Ramsay: Uncharted,2019–,21-Jul-19,N/A,1 nomination.,316
Gotta Kick It Up!,2002,26-Jul-02,Ramón Menéndez,2 nominations.,"1,551"
,,,,,
The Grasshopper and the Ants,1934,10-Feb-34,Wilfred Jackson,N/A,"1,304"
Great Migrations,2010–,07-Nov-10,N/A,3 wins & 1 nomination.,694
Greyfriars Bobby: The True Story of a Dog,1961,17-Jul-61,Don Chaffey,N/A,"1,203"
Gus,1976,07-Jul-76,Vincent McEveety,N/A,"1,481"
Hacksaw,1971,26-Sep-71,Larry Lansburgh,N/A,36
Halloweentown,1998,17-Oct-98,Duwayne Dunham,2 nominations.,"11,872"
Halloweentown High,2004,08-Oct-04,Mark A.Z. Dippé,N/A,"5,443"
Halloweentown II: Kalabar's Revenge,2001,12-Oct-01,Mary Lambert,2 nominations.,"6,476"
Handy Manny,2006–2013,N/A,N/A,8 wins & 1 nomination.,"1,288"
Hannah Montana,2006–2011,24-Mar-06,N/A,Nominated for 4 Primetime Emmys. Another 20 wins & 24 nominations.,"35,066"
Hannah Montana and Miley Cyrus: Best of Both Worlds Concert,2008,01-Feb-08,Bruce Hendricks,1 win.,"8,392"
Hannah Montana: The Movie,2009,10-Apr-09,Peter Chelsom,6 wins & 10 nominations.,"38,414"
,,,,,
Hatching Pete,2009,24-Apr-09,Stuart Gillard,1 nomination.,"2,324"
Hawaiian Holiday,1937,24-Sep-37,Ben Sharpsteen,N/A,823
Heavyweights,1995,17-Feb-95,Steven Brill,N/A,"24,212"
Henry Hugglemonster,2013–,15-Apr-13,N/A,2 wins & 3 nominations.,312
Herbie Goes Bananas,1980,25-Jun-80,Vincent McEveety,2 nominations.,"4,958"
Herbie Goes to Monte Carlo,1977,24-Jun-77,Vincent McEveety,N/A,"6,553"
Herbie Rides Again,1974,06-Jun-74,Robert Stevenson,N/A,"7,035"
Herbie Fully Loaded,2005,22-Jun-05,Angela Robinson,2 wins & 6 nominations.,"43,653"
Hercules,1997,20-Jun-97,"Ron Clements, John Musker",Nominated for 1 Oscar. Another 9 wins & 15 nominations.,"1,95,894"
High School Musical,2006,20-Jan-06,Kenny Ortega,Won 2 Primetime Emmys. Another 8 wins & 18 nominations.,"77,328"
High School Musical 2,2007,17-Aug-07,Kenny Ortega,Nominated for 2 Primetime Emmys. Another 4 wins & 7 nominations.,"52,782"
High School Musical 3,2008,24-Oct-08,Kenny Ortega,8 wins & 9 nominations.,"55,628"
High School Musical: The Musical - The Series,2019–,12-Nov-19,N/A,1 nomination.,"2,038"
,,,,,
High School Musical: The Musical: The Series: The Special,2019,20-Dec-19,Clayton Cogswell,N/A,14
Hocus Pocus,1993,16-Jul-93,Kenny Ortega,2 wins & 11 nominations.,"89,713"
Holes,2003,18-Apr-03,Andrew Davis,3 wins & 9 nominations.,"74,143"
Home Alone 3,1997,12-Dec-97,Raja Gosnell,3 nominations.,"1,01,062"
Home on the Range,2004,02-Apr-04,"Will Finn, John Sanford",5 nominations.,"19,123"
Homeward Bound II: Lost in San Francisco,1996,08-Mar-96,David R. Ellis,3 nominations.,"13,127"
Homeward Bound: The Incredible Journey,1993,12-Feb-93,Duwayne Dunham,1 nomination.,"40,421"
"Honey, I Blew Up the Kid",1992,17-Jul-92,Randal Kleiser,10 nominations.,"39,775"
"Honey, I Shrunk the Kids",1989,23-Jun-89,Joe Johnston,Won 1 BAFTA Film Award. Another 1 win & 10 nominations.,"1,37,074"
"Honey, We Shrunk Ourselves!",1997,18-Mar-97,Dean Cundey,N/A,"12,439"
Horse Sense,1999,20-Nov-99,Greg Beeman,1 nomination.,"1,485"
Hostile Planet,2019–,01-Apr-19,N/A,Nominated for 2 Primetime Emmys. Another 1 nomination.,382
Hounded,2001,01-Apr-01,Neal Israel,N/A,894
How Dogs Got Their Shapes,2016,17-Apr-16,Keith Haskel,N/A,34
How to Build a Better Boy,2014,15-Aug-14,Paul Hoen,2 nominations.,"2,484"
How to Fish,1942,04-Dec-42,Jack Kinney,N/A,367
How to Play Baseball,1942,04-Sep-42,Jack Kinney,N/A,462
How to Play Football,1944,15-Sep-44,Jack Kinney,N/A,826
How to Swim,1942,23-Oct-42,Jack Kinney,N/A,386
Hulk and the Agents of S.M.A.S.H.,2013–2015,11-Aug-13,N/A,12 nominations.,"2,473"
I'll Be Home for Christmas,1998,13-Nov-98,Arlene Sanford,N/A,"8,812"
Ice Age,2002,15-Mar-02,"Chris Wedge, Carlos Saldanha(co-director)",Nominated for 1 Oscar. Another 5 wins & 29 nominations.,"4,21,204"
Ice Age: The Great Egg-Scapade,2016,20-Mar-16,"Paul Stodolny, Ricardo Curtis, Steve Martino, Mike Thurmeier",N/A,"2,814"
Ice Princess,2005,18-Mar-05,Tim Fywell,N/A,"23,891"
Imagination Movers,2008–,06-Sep-08,N/A,2 wins & 5 nominations.,682
,,,,,
In the Footsteps of Elephant,2020,03-Apr-20,"Vanessa Berlowitz, Tom Stephens(co-director)",N/A,17
Incredible! The Story of Dr. Pol,2015,10-Jan-15,N/A,N/A,N/A
,,,,,
Inside Out,2015,19-Jun-15,"Pete Docter, Ronnie Del Carmen(co-director)",Won 1 Oscar. Another 97 wins & 114 nominations.,"5,77,209"
Inspector Gadget,1999,23-Jul-99,David Kellogg,1 win & 13 nominations.,"43,808"
Inspector Gadget 2,2003,11-Mar-03,Alex Zamm,4 nominations.,"5,423"
Into the Canyon,2019,21-Feb-19,Peter McBride,N/A,94
Into the Okavango,2018,22-Apr-18,Neil Gelinas,1 win & 2 nominations.,183
Invincible,2006,25-Aug-06,Ericson Core,2 nominations.,"63,682"
Invisible Sister,2015,09-Oct-15,Paul Hoen,1 nomination.,"2,240"
Iron Man,1994–1996,24-Sep-94,N/A,N/A,"2,638"
Iron Man: Armored Adventures,2008–2012,N/A,N/A,N/A,"2,671"
Iron Will,1994,14-Jan-94,Charles Haid,N/A,"7,095"
,,,,,
Jack,1996,09-Aug-96,Francis Ford Coppola,6 nominations.,"54,474"
Jack-Jack Attack,2005,11-Jan-08,Brad Bird,1 win & 1 nomination.,"13,829"
James and the Giant Peach,1996,12-Apr-96,Henry Selick,Nominated for 1 Oscar. Another 4 wins & 9 nominations.,"57,814"
Jane,2017,24-Nov-17,Brett Morgen,Won 2 Primetime Emmys. Another 34 wins & 37 nominations.,"3,897"
,,,,,
Jessie,2011–2015,30-Sep-11,N/A,2 wins & 12 nominations.,"11,715"
Episode #2.7,2013,05-Jan-13,N/A,N/A,N/A
John Carter,2012,09-Mar-12,Andrew Stanton,2 wins & 8 nominations.,"2,48,903"
Johnny Kapahala: Back on Board,2007,23-Nov-07,Eric Bross,2 wins.,"1,922"
Johnny Tsunami,1999,24-Jul-99,Steve Boyum,1 nomination.,"4,615"
Jonas Brothers: The 3D Concert Experience,2009,27-Feb-09,Bruce Hendricks,1 win & 4 nominations.,"17,198"
Nature Untamed,2008–,N/A,N/A,N/A,N/A
Journey to the Center of the Earth,1959,01-Dec-59,Henry Levin,Nominated for 3 Oscars. Another 1 win & 2 nominations.,"15,008"
Jump In!,2007,27-Apr-07,Paul Hoen,2 wins & 2 nominations.,"6,574"
Jumping Ship,2001,17-Aug-01,Michael Lange,N/A,"1,603"
Jungle 2 Jungle,1997,07-Mar-97,John Pasquin,3 nominations.,"22,111"
Jungle Cat,1960,19-Oct-60,James Algar,1 win & 1 nomination.,205
Justin Morgan Had a Horse,1972,06-Feb-72,Hollingsworth Morse,N/A,125
Kazaam,1996,17-Jul-96,Paul Michael Glaser,2 nominations.,"22,405"
Kickin' It,2011–2015,13-Jun-11,N/A,2 wins & 8 nominations.,"4,372"
Kim Possible,2019,15-Feb-19,"Zach Lipovsky, Adam B. Stein",N/A,"2,030"
Kim Possible: So the Drama,2005,08-Apr-05,Steve Loter,1 nomination.,"3,728"
,,,,,
Kingdom of the Blue Whale,2009,08-Mar-09,N/A,N/A,77
Kingdom of the White Wolf,2019,25-Aug-19,N/A,N/A,56
Kitbull,2019,18-Feb-19,Rosana Sullivan,Nominated for 1 Oscar. Another 1 win.,"3,834"
,,,,,
Kronk's New Groove,2005,13-Dec-05,"Saul Blinkoff, Elliot M. Bour",8 nominations.,"10,599"
La Luna,2011,22-Jun-12,Enrico Casarosa,Nominated for 1 Oscar. Another 1 win & 1 nomination.,"12,217"
Lab Rats,2012–2016,N/A,N/A,1 win & 5 nominations.,"4,349"
Lady and the Tramp,2019,12-Nov-19,Charlie Bean,4 nominations.,"12,134"
Lady and the Tramp,1955,22-Jun-55,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",Nominated for 1 BAFTA Film Award. Another 1 win & 1 nomination.,"1,16,990"
Lady and the Tramp 2: Scamp's Adventure,2001,27-Feb-01,"Darrell Rooney, Jeannine Roussel(co-director)",1 win & 7 nominations.,"9,837"
Lambert the Sheepish Lion,1952,08-Feb-52,Jack Hannah,N/A,"1,848"
Lamp Life,2020,31-Jan-20,Valerie LaPointe,N/A,980
,,,,,
Lego Frozen Northern Lights,2016–,01-Nov-16,N/A,N/A,401
Lego Star Wars: All-Stars,2018–,29-Oct-18,N/A,N/A,127
,,,,,
Lego Star Wars: Droid Tales,2015,06-Jul-15,N/A,1 nomination.,617
LEGO Star Wars: The Resistance Rises,2016,15-Feb-16,N/A,N/A,17
Lego Star Wars: The Freemaker Adventures,2016–,20-Jun-16,N/A,1 win & 7 nominations.,680
,,,,,
The New Yoda Chronicles: Clash of the Skywalkers,2014,23-Nov-14,Michael Hegner,N/A,54
The New Yoda Chronicles: Raid on Coruscant,2014,20-Sep-14,Michael Hegner,N/A,65
,,,,,
The New Yoda Chronicles: Escape from the Jedi Temple,2014,04-May-14,Michael Hegner,N/A,161
Lego Star Wars: The Yoda Chronicles,2013–,N/A,N/A,2 nominations.,364
Lemonade Mouth,2011,15-Apr-11,Patricia Riggen,2 nominations.,"13,515"
Lend a Paw,1941,03-Oct-41,Clyde Geronimi,N/A,803
Leroy & Stitch,2006,23-Jun-06,"Tony Craig, Roberts Gannaway",1 nomination.,"4,565"
Let It Shine,2012,01-Jun-12,Paul Hoen,4 wins & 6 nominations.,"2,731"
Let's Stick Together,1952,25-Apr-52,Jack Hannah,N/A,221
Life Below Zero,2013–,19-May-13,N/A,Won 4 Primetime Emmys. Another 5 nominations.,"1,429"
Life Is Ruff,2005,15-Jul-05,Charles Haid,N/A,"1,205"
Life with Mikey,1993,04-Jun-93,James Lapine,2 wins & 2 nominations.,"5,221"
Life-Size 2,2018,02-Dec-18,Steven K. Tsuchida,1 nomination.,727
Lifted,2006,29-Jun-07,Gary Rydstrom,N/A,"17,178"
Lilo & Stitch,2002,21-Jun-02,"Dean DeBlois, Chris Sanders",Nominated for 1 Oscar. Another 10 wins & 26 nominations.,"1,60,264"
Lilo & Stitch: The Series,2003–2006,20-Sep-03,N/A,2 nominations.,"7,344"
Lilo & Stitch 2: Stitch Has a Glitch,2005,30-Aug-05,"Michael LaBash, Tony Leondis",2 wins & 13 nominations.,"11,210"
Lizzie McGuire,2001–2004,12-Jan-01,N/A,Nominated for 2 Primetime Emmys. Another 8 wins & 20 nominations.,"16,649"
Lonesome Ghosts,1937,24-Dec-37,Burt Gillett,N/A,"1,838"
Loop,2020,10-Jan-20,Erica Milsom,N/A,362
Lost Cities with Albert Lin,2019–,01-Oct-19,N/A,N/A,63
,,,,,
Lost Treasures of the Maya,2018–,06-Feb-18,Ben Crichton,N/A,56
Lou,2017,16-Jun-17,Dave Mullins,Nominated for 1 Oscar. Another 2 nominations.,"5,581"
,,,,,
The Luck of the Irish,2001,09-Mar-01,Paul Hoen,N/A,"6,337"
,,,,,
Playdate with Destiny,2020,06-Mar-20,David Silverman,N/A,686
Magician Mickey,1937,06-Feb-37,David Hand,N/A,818
,,,,,
,,,,,
Man Among Cheetahs,2017,11-Dec-17,N/A,N/A,15
Mars Needs Moms,2011,11-Mar-11,Simon Wells,2 nominations.,"20,441"
MARS: Inside SpaceX,2018,12-Nov-18,Julia Reagan,N/A,534
Marvel 75 Years: From Pulp to Pop!,2014,04-Nov-14,Zak Knutson,N/A,594
Spider-Man: The Animated Series,1994–1998,19-Nov-94,N/A,4 nominations.,"24,829"
The Incredible Hulk,1996–1998,08-Sep-96,N/A,1 win.,"2,643"
X-Men: The Animated Series,1992–1997,31-Oct-92,N/A,N/A,"36,206"
Marvel Rising: Battle of the Bands,2019,28-Aug-19,N/A,N/A,85
Marvel Rising: Chasing Ghosts,2019,16-Jan-19,Alfred Gimeno,N/A,242
Marvel Rising: Heart of Iron,2019,31-Mar-19,"Sol Choi, Alfred Gimeno",N/A,306
Marvel Rising: Initiation,2018,13-Aug-18,N/A,N/A,255
Marvel Rising: Operation Shuri,2019,11-Oct-19,"Chris Rutkowski, Eric Radomski",N/A,N/A
Marvel Rising: Playing with Fire,2019,18-Dec-19,"Sol Choi, Eric Radomski",N/A,61
Marvel Rising: Secret Warriors,2018,30-Sep-18,"Alfred Gimeno, Eric Radomski",N/A,854
Marvel Studios: Assembling a Universe,2014,18-Mar-14,N/A,N/A,936
,,,,,
Ant-Man,2015,17-Jul-15,Peyton Reed,Nominated for 1 BAFTA Film Award. Another 3 wins & 33 nominations.,"5,40,523"
Avengers: Age of Ultron,2015,01-May-15,Joss Whedon,8 wins & 47 nominations.,"7,11,205"
Avengers: Endgame,2019,26-Apr-19,"Anthony Russo, Joe Russo",Nominated for 1 Oscar. Another 64 wins & 102 nominations.,"6,94,527"
Black Panther,2018,16-Feb-18,Ryan Coogler,Won 3 Oscars. Another 108 wins & 265 nominations.,"5,79,293"
Captain America: Civil War,2016,06-May-16,"Anthony Russo, Joe Russo",16 wins & 68 nominations.,"6,28,016"
Captain America: The First Avenger,2011,22-Jul-11,Joe Johnston,4 wins & 46 nominations.,"7,11,603"
Captain America: The Winter Soldier,2014,04-Apr-14,"Anthony Russo, Joe Russo",Nominated for 1 Oscar. Another 5 wins & 50 nominations.,"7,06,555"
Captain Marvel,2019,08-Mar-19,"Anna Boden, Ryan Fleck",7 wins & 43 nominations.,"4,06,778"
Doctor Strange,2016,04-Nov-16,Scott Derrickson,Nominated for 1 Oscar. Another 20 wins & 65 nominations.,"5,62,696"
Guardians of the Galaxy,2014,01-Aug-14,James Gunn,Nominated for 2 Oscars. Another 52 wins & 100 nominations.,"10,07,917"
Guardians of the Galaxy Vol. 2,2017,05-May-17,James Gunn,Nominated for 1 Oscar. Another 15 wins & 56 nominations.,"5,37,920"
Iron Man,2008,02-May-08,Jon Favreau,Nominated for 2 Oscars. Another 21 wins & 65 nominations.,"9,10,300"
Iron Man 2,2010,07-May-10,Jon Favreau,Nominated for 1 Oscar. Another 7 wins & 43 nominations.,"6,93,517"
Iron Man 3,2013,03-May-13,Shane Black,Nominated for 1 Oscar. Another 20 wins & 62 nominations.,"7,30,917"
The Avengers,2012,04-May-12,Joss Whedon,Nominated for 1 Oscar. Another 38 wins & 79 nominations.,"12,25,316"
Thor,2011,06-May-11,Kenneth Branagh,5 wins & 30 nominations.,"7,17,145"
Thor: Ragnarok,2017,03-Nov-17,Taika Waititi,6 wins & 48 nominations.,"5,42,938"
Thor: The Dark World,2013,08-Nov-13,Alan Taylor,3 wins & 21 nominations.,"5,71,192"
Marvel Super Hero Adventures,2017–,13-Oct-17,N/A,3 nominations.,63
Ultimate Spider-Man,2012–2017,01-Apr-12,N/A,9 nominations.,"9,725"
Agent Carter,2015–2016,06-Jan-15,N/A,14 nominations.,"69,458"
Ant-Man,2017,10-Jun-17,N/A,N/A,246
Avengers Assemble,2013–,26-May-13,N/A,11 nominations.,"6,168"
,,,,,
Marvel Future Avengers,2017–,22-Jul-17,N/A,N/A,75
Guardians of the Galaxy,2015–,26-Jul-15,N/A,2 wins & 2 nominations.,"2,520"
,,,,,
Marvel's Hero Project,2019–,12-Nov-19,N/A,N/A,97
Inhumans,2017,29-Sep-17,N/A,N/A,"20,672"
Iron Man & Hulk: Heroes United,2013,03-Dec-13,"Eric Radomski, Leo Riley",N/A,"2,012"
Rocket & Groot,2017–,10-Mar-17,N/A,N/A,160
Runaways,2017–2019,21-Nov-17,N/A,3 wins & 4 nominations.,"20,241"
Spider-Man,2017–,29-Jul-17,N/A,1 nomination.,"1,440"
,,,,,
,,,,,
Mary Poppins,1964,18-Jun-65,Robert Stevenson,Won 5 Oscars. Another 15 wins & 17 nominations.,"1,51,417"
Mater and the Ghostlight,2006,25-Oct-06,"John Lasseter, Dan Scanlon(co-director)",N/A,"7,151"
Meet the Deedles,1998,27-Mar-98,Steve Boyum,1 win & 2 nominations.,"2,567"
Meet the Robinsons,2007,30-Mar-07,Stephen J. Anderson,1 win & 10 nominations.,"84,040"
Melody Time,1948,27-May-48,"Clyde Geronimi, Wilfred Jackson, Jack Kinney, Hamilton Luske",1 win.,"4,534"
,,,,,
